name,denomination,address
Christian Family Church International Of San Diego,Christian / General,"10650 CULEBRA RD STE 104-PMB 109, SAN ANTONIO, TX 78251-4949"
Clarion Call Christian Center,Christian / General,"17655 HENDERSON PASS APT 1025, SAN ANTONIO, TX 78232-1558"
Hindu Temple Of San Antonio Foundation,,"CO MKRCPA 4831 WESLEYAN ST, SAN ANTONIO, TX 78249-0000"
Lords House Christian Church Inc,Christian / General,"1250 S TRINITY ST, SAN ANTONIO, TX 78207-6144"
Templo Magdiel Full Gospel Church Inc,,"8023 SOMERSET RD, SAN ANTONIO, TX 78211-3845"
Mighty Redeemer Ministries Inc,Christian / General,"13026 MAPLE PARK DR, SAN ANTONIO, TX 78249-4311"
Kathleen Whitten Ministries,Christian / General,"8610 N NEW BRAUNFELS AVE STE 605, SAN ANTONIO, TX 78217-6454"
Worship Tools Ministry,Christian / General,"7800 IH 10 WEST SUITE 505, SAN ANTONIO, TX 78230-4723"
Rechurch210,,"9718 ASTIN PL, SAN ANTONIO, TX 78251-3728"
Zack Cherian International Ministries Usa Inc,Christian / General,"25725 COMANCHE CRK, SAN ANTONIO, TX 78261-4411"
Ministry Of The Third Cross Inc,Christian / General,"14207 SPOTTED CEDAR, SAN ANTONIO, TX 78249-1029"
Greater Heights Fellowship,Christian / General,"411 SPRUCEWOOD LN, SAN ANTONIO, TX 78216-6417"
Heights Community Church,,"324 HARMON DR, SAN ANTONIO, TX 78209-4830"
Treasures Of Hope Fellowship Inc,Christian / General,"500 NAVARRO ST 2ND FLOOR PMB 7064, SAN ANTONIO, TX 78205-1833"
Apostolic Latin American Missionary Projects Inc,Apostolic,"9302 TIMBER PATH, SAN ANTONIO, TX 78250-4911"
Grace Avenue Church,,"14546 BROOK HOLLOW BLVD 266, SAN ANTONIO, TX 78232-3810"
Ofb Ministries Inc,Christian / General,"2430 FREEDOM DR, SAN ANTONIO, TX 78217-4423"
Park Community Church,,"PO BOX 781669, SAN ANTONIO, TX 78278-1669"
Higher Ground Christian Worship Center,Christian / General,"PO BOX 340733, SAN ANTONIO, TX 78234-0733"
Community Bible Church Northwest,,"8118 TEZEL RD, SAN ANTONIO, TX 78250-3032"
Empowering Uplifting & Motivating Ministries Inc,Christian / General,"20659 STONE OAK PKWY APT 503, SAN ANTONIO, TX 78258-7492"
Community Bible Church Schertz Cibolo,,"20711 WILD SPRINGS DR, SAN ANTONIO, TX 78258-7425"
Alamo Community Church - San Antonio,,"5354 TALLEY RD, SAN ANTONIO, TX 78253-4139"
Redeemed Christian Church Of God Restoration Chapel San Antonio,Church of God,"2515 NACOGDOCHES ROAD STE 5, SAN ANTONIO, TX 78217-6010"
Iglesia Cristiana Jehova Shammah,,"1013 TEXAS AVE, SAN ANTONIO, TX 78201-0000"
Living Waters Romanian Pentecostal Church,Pentecostal,"17030 DARIEN WING, SAN ANTONIO, TX 78247-5856"
Covenant Life Christian Church Inc,Christian / General,"PO BOX 762322, SAN ANTONIO, TX 78245-7322"
Iron Sharpens Iron Church Inc,,"1514 W OLMOS DR, SAN ANTONIO, TX 78201-4152"
Go For The Harvest Church Of God,Church of God,"PO BOX 14020, SAN ANTONIO, TX 78214-0020"
New Creation Church,,"PO BOX 591064, SAN ANTONIO, TX 78259-0103"
Javier Galvan Ministries,Christian / General,"515 W CRESTLINE DR, SAN ANTONIO, TX 78228-1962"
Three Streams Church,,"7295 E EVANS RD, SAN ANTONIO, TX 78266-2805"
Grace Community Church San Antonio,,"5415 BANDERA RD STE 501, SAN ANTONIO, TX 78238-1958"
Blessed Kingdom Ministries,Christian / General,"32 BADGERS HLS, SAN ANTONIO, TX 78238-1374"
Covenant Keepers Ministry Inc,Christian / General,"12114 TOWER FRST, SAN ANTONIO, TX 78253-6716"
Grove Avenue Church Of Christ,Church of Christ,"119 GROVE AVE, SAN ANTONIO, TX 78210-2817"
True Life Church- Iglesia Vida Verdadera,,"9611 NUECES CYN, SAN ANTONIO, TX 78251-3578"
Sos 3 Ministries Inc,Christian / General,"2606 CANON PERDIDO, SAN ANTONIO, TX 78261-2759"
Last Chance Ministries,Christian / General,"404 BRADY BLVD, SAN ANTONIO, TX 78207-8036"
Javier Galvan Ministries,Christian / General,"515 W CRESTLINE DR, SAN ANTONIO, TX 78228-1962"
Starlight Baptist Church,Baptist,"24165 IH 10 WEST SUITE 217223, SAN ANTONIO, TX 78257-1449"
